Product_Name,Supermarket_Category
Apfeltasche,Backwaren
Speiseeis Nuss,Tiefkühlware
Kartoffelhörnchen,Backwaren
Mehrfruchtsaft angereichert,Obst & Gemüse
Schinkenröllchen,Fisch & Wurstwaren
Soja-Streichwurstalternative,Kühlregal (Vegan & Käse)
Debrecziner,Fleischtheke
Geselchte,Fleischtheke
Roter Mehrfruchtsaft,Obst & Gemüse
Schwedischer Mandel-Marzipan-Kuchen Mazarinkuchen,Backwaren
Knoblauchbutter Kräuterbutter,Gewürze & Backzutaten
Kartoffelwurst,Fisch & Wurstwaren
Smoothie purpur,Obst & Gemüse
Müsli-Riegel,Süßwaren & Snacks
Geflügelbierwurst,Fisch & Wurstwaren
Energieriegel angereichert,Süßwaren & Snacks
Müslimischung,Süßwaren & Snacks
Nuss-Schnecken,Gewürze & Backzutaten
Orangenkuchen,Backwaren
Ajvar,Trockensortiment & Konserven
Marzipan-Monde,Backwaren
Thüringer Rotwurst,Fisch & Wurstwaren
Ananas-Marzipan-Kuchen,Backwaren
Puddingschnecken,Gewürze & Backzutaten
Elisenlebkuchen,Backwaren
Kartoffelrösti,Tiefkühlware
Mortadella fettreduziert,Fleischtheke
Schokoladenpudding,Kühlregal (Molkerei)
Rosinenbrot glutenfrei,Backwaren
Mandarinen-Omelettes,Kühlregal (Molkerei)
Nussstangen,Backwaren
Mohnstollen,Gewürze & Backzutaten
Mohnkranz,Kühlregal (Molkerei)
Möhren-Nusstorte Rüblitorte,Backwaren
Pfefferkuchen,Gewürze & Backzutaten
Frischecreme Streichcreme,Kühlregal (Vegan & Käse)
Bierschinken,Trockensortiment & Konserven
Schlemmerfilet Bordelaise,Tiefkühlware
ACE-Frucht-Vitamingetränk angereichert,Getränke Alkoholfrei
Salami Kroatische Art,Fisch & Wurstwaren
Kastanienbrot glutenfrei,Backwaren
Schokoladenstreusel,Süßwaren & Snacks
Röstzwiebeln,Obst & Gemüse
Kirschtasche,Backwaren
Käseschinkenwurst,Kühlregal (Molkerei)
Gansgalantine,Fleischtheke
Kalbskäse,Kühlregal (Molkerei)
Orangenflammeri,Gewürze & Backzutaten
Fischstäbchen paniert,Tiefkühlware
Zitronenkuchen vegan,Kühlregal (Vegan & Käse)
Sojawürstchen,Kühlregal (Vegan & Käse)
Schweinefleischsülze,Fleischtheke
Orangentäschchen,Backwaren
Apfel-Quarktorte,Kühlregal (Molkerei)
Baiser-Schokosahnetorte,Kühlregal (Molkerei)
Garnele paniert,Tiefkühlware
Kartoffelkuchen,Backwaren
Nuss-Spritzgebäck schokoliert,Backwaren
Fruchtsaftgetränk Kirsche,Getränke Alkoholfrei
Schinkenpresskopf,Fisch & Wurstwaren
Mehrfruchtsaft,Obst & Gemüse
Frühstücksfleisch,Fleischtheke
Sandwaffeln,Backwaren
Schlackwurst,Fisch & Wurstwaren
Käsekuchen,Kühlregal (Molkerei)
Gemüsecremesuppe Instantpulver,Obst & Gemüse
Gewürzsalz Kräutersalz,Gewürze & Backzutaten
Kalbfleischwurst,Fisch & Wurstwaren
Vollkorn-Marmorkuchen,Backwaren
Nürnberger Lebkuchen,Backwaren
Orangenbiskuitplätzchen,Backwaren
Eier-Frischteigwaren Ravioli,Trockensortiment & Konserven
Sardellenpaste,Fisch & Wurstwaren
Erbswurst,Fisch & Wurstwaren
Soja-Bolognese,Kühlregal (Vegan & Käse)
Knackwurst Servela Würstchen,Fisch & Wurstwaren
Marzipan-Walnuss-Sahnetorte,Kühlregal (Molkerei)
Aprikosenglasur Aprikotur,Gewürze & Backzutaten
Brotaufstrich Ei-Kräuter,Backwaren
Vegetarisches Gulasch,Kühlregal (Vegan & Käse)
Müsli Basismischung,Süßwaren & Snacks
Bananennektar,Obst & Gemüse
Roter Mehrfruchtsaft angereichert,Obst & Gemüse
Wiener Apfelstrudel,Backwaren
Apfeltorte gedeckt,Backwaren
Schweinskäse weiß,Kühlregal (Molkerei)
Gemüseaufstrich,Backwaren
Hobelspäne Räderkuchen frittiert,Backwaren
Weiße Graupenwurst,Fisch & Wurstwaren
Schmalz Schmelz,Kühlregal (Vegan & Käse)
Nuss-Pralinen,Süßwaren & Snacks
Himbeertörtchen,Kühlregal (Molkerei)
Fleischkäse grob,Kühlregal (Molkerei)
Vollkorn-Schoko-Mandelkuchen,Backwaren
Schokosahnetorte,Kühlregal (Molkerei)
Energieriegel gefüllt,Süßwaren & Snacks
Vollkornhaselnusskuchen,Backwaren
Marzipanstollen,Gewürze & Backzutaten
Knoblauchwurst,Fisch & Wurstwaren
Schwarze Graupenwürstchen,Fleischtheke
Ananas-Kranz gefüllt,Backwaren
Mandel-Marzipan-Donuts frittiert,Gewürze & Backzutaten
Fruchtschnitte Fruchtriegel,Obst & Gemüse
Kalbfleischkäse,Kühlregal (Molkerei)
Roter Presskopf,Fleischtheke
Käsewindbeutel gefüllt,Kühlregal (Molkerei)
Sauerkirschnektar,Obst & Gemüse
Makronentorte,Backwaren
Pilzcremesuppe Instantpulver,Obst & Gemüse
Mettwurst einfach,Fisch & Wurstwaren
Geflügeljagdwurst,Fisch & Wurstwaren
Schupfnudeln schwäbisch,Trockensortiment & Konserven
Rind Schwein,Fleischtheke
Fischfrikadelle paniert,Tiefkühlware
Hessische Landrotwurst,Fisch & Wurstwaren
Thüringer Fleischrotwurst fettreduziert,Fisch & Wurstwaren
Dessert,Kühlregal (Molkerei)
Kümmelwurst,Fisch & Wurstwaren
Mortadella süddeutsch,Fleischtheke
Buttermilchdrink,Kühlregal (Molkerei)
Hummus Kichererbsenmus,Backwaren
Smoothie grün,Obst & Gemüse
Zitronenkuchen,Backwaren
Mohnstollen Mohnstriezel,Gewürze & Backzutaten
Eierlikörtorte,Backwaren
Muffins vegan,Kühlregal (Vegan & Käse)
Käsewiener,Kühlregal (Molkerei)
Kalbfleischsülze,Trockensortiment & Konserven
Französische Schweinefleischterrine gebacken,Fleischtheke
Hirschfleischpastete,Fleischtheke
Bienenstich,Gewürze & Backzutaten
Hannoversche Weißwurst,Fisch & Wurstwaren
Apfelkuchen vegan,Kühlregal (Vegan & Käse)
Liegnitzer,Backwaren
Seelachs im Backteig,Tiefkühlware
Erdbeerkuchen,Backwaren
Aalrauchmettwurst,Fisch & Wurstwaren
Käsetorte,Kühlregal (Molkerei)
Cola-Misch-Getränk Orange,Getränke Alkoholfrei
Schokoladen-Haselnussmakronen,Backwaren
Trüffeltorte,Backwaren
Schokoladen-Nusstorte,Backwaren
Fränkischer Fleischpresssack,Fleischtheke
Eiskonfekt,Süßwaren & Snacks
Gnocchi,Obst & Gemüse
Buchweizentorte,Kühlregal (Molkerei)
Mandelkranz,Gewürze & Backzutaten
Englischer Teekuchen glutenfrei,Backwaren
Feines Früchtebrot,Backwaren
Hähnchencreme,Backwaren
Rotweinpunsch,Bier & Wein
Schokoladen-Makronen,Backwaren
Bockwurst,Fisch & Wurstwaren
Donut frittiert,Gewürze & Backzutaten
Rheinische Mutzen frittiert,Trockensortiment & Konserven
Frucht-Chutney,Gewürze & Backzutaten
Rindsbratwurst,Fisch & Wurstwaren
Mandarinen-Schmand-Kuchen,Kühlregal (Molkerei)
Waffeln,Backwaren
Erdbeer-Sahnecremetorte,Kühlregal (Molkerei)
Marzipanstangen,Backwaren
Jagdwurst fettreduziert,Fisch & Wurstwaren
Pfirsichtorte,Backwaren
Krabben,Fisch & Wurstwaren
Nussboden,Backwaren
Kabeljau im Backteig,Tiefkühlware
Kalbsroulade,Fisch & Wurstwaren
Zervelatwurst fettreduziert,Fisch & Wurstwaren
Knoblauchwurst einfach,Fisch & Wurstwaren
Mohnschnecken,Backwaren
Langos frittiert,Gewürze & Backzutaten
Grießpudding,Kühlregal (Molkerei)
Schokoladenkuchen,Backwaren
Gemüsemischung mexikanische Art,Obst & Gemüse
Weiße Lebkuchen,Backwaren
Amerikaner,Backwaren
Plockwurst einfach,Fisch & Wurstwaren
Birnensaftschorle,Getränke Alkoholfrei
Currybratwurst gegrillt,Fisch & Wurstwaren
Erfrischungsgetränk isotonisch,Getränke Alkoholfrei
Sülzwurst,Fisch & Wurstwaren
Johannisbeernektar schwarz,Obst & Gemüse
Schinken-Käse-Sülze,Kühlregal (Molkerei)
Erdbeersahnetorte,Kühlregal (Molkerei)
Rostbratwurst gargezogen,Fisch & Wurstwaren
Mandelbrot,Backwaren
Speiseeis Karamell,Tiefkühlware
Smoothie gelb,Obst & Gemüse
Schokoladen-Dragees,Süßwaren & Snacks
Tofu-Bratlinge,Kühlregal (Vegan & Käse)
Schweineohren Schweinsohren,Backwaren
Vollkornplunderteig gebacken,Backwaren
Schweinskopfwurst,Fisch & Wurstwaren
Speiseeis überzogen,Tiefkühlware
Linzer Torte,Backwaren
Gerollte Marzipan-Nuss-Schnitten,Kühlregal (Molkerei)
Eierpunsch,Bier & Wein
Schweineroulade,Fleischtheke
Wildbretgalantine gebacken,Fleischtheke
Kürbis-Kuchen,Backwaren
Königskuchen,Backwaren
Nussecken,Backwaren
Rinderbierschinken,Fisch & Wurstwaren
Schoko-Plunder,Backwaren
Buttermilchdessert,Kühlregal (Molkerei)
Gelee extra,Süßwaren & Snacks
Gewürzkuchen,Backwaren
Eberswalder Spritzkuchen frittiert,Backwaren
Baumkuchenspitzen,Backwaren
Alaska-Seelachs paniert,Tiefkühlware
Nuss-Trüffel-Pralinen,Süßwaren & Snacks
Nüsse,Kühlregal (Molkerei)
Aprikosenkuchen,Backwaren
Rindersalami,Fisch & Wurstwaren
Vollkornsandkuchen,Backwaren
Thüringer Mohnkuchen,Gewürze & Backzutaten
Brötchen,Backwaren
Kartoffelkroketten,Tiefkühlware
Molkenmischgetränk,Kühlregal (Molkerei)
Rind Frikadelle,Fleischtheke
Zervelatwurst,Fisch & Wurstwaren
Pfirsich-Maracuja Fruchtnektar,Getränke Alkoholfrei
Rhabarberkompott,Trockensortiment & Konserven
Kokosmakronen,Backwaren
Wiener Hörnchen,Gewürze & Backzutaten
Haselnuss-Krokant,Süßwaren & Snacks
Feine Oblaten-Lebkuchen,Backwaren
Kalbfleischgalantine gebacken,Fleischtheke
Marzipanmakronen,Backwaren
Frucht-Sorbet,Tiefkühlware
Fruchtsaftgetränk,Getränke Alkoholfrei
Waffelschnitte gefüllt,Süßwaren & Snacks
Karamell-Toffee gefüllt,Süßwaren & Snacks
Presssäckel,Fleischtheke
Vanille-Mürbchen,Backwaren
Knäckebrotstückchen,Backwaren
Paprikaspeckwurst,Fisch & Wurstwaren
Apfel-Weincreme eihaltig,Gewürze & Backzutaten
Quarkbällchen frittiert,Kühlregal (Molkerei)
Schupfnudeln eifrei,Trockensortiment & Konserven
Kuchen,Backwaren
Haselnussmakronen,Backwaren
Vanillebuttercreme eihaltig,Gewürze & Backzutaten
Fettgebäck frittiert,Backwaren
Kartoffel-Speck-Rösti,Tiefkühlware
Gemüsesülze Gemüse-Mix,Fleischtheke
Kartoffeltaschen,Tiefkühlware
Mokkasahnetorte,Kühlregal (Molkerei)
Mokkaflammeri,Gewürze & Backzutaten
Pfirsichtörtchen,Kühlregal (Molkerei)
Karpfen im Backteig,Fisch & Wurstwaren
Husarenkrapfen,Backwaren
Brotaufstrich Tomate-Mozzarella,Backwaren
Jagdwurst Schinkenwurst grob,Fisch & Wurstwaren
Frischkäse-Torte,Kühlregal (Molkerei)
Kartoffelpuffer,Tiefkühlware
Zervelatwurst Ia,Fisch & Wurstwaren
Sülzkotelett,Fleischtheke
Plockwurst,Fisch & Wurstwaren
Kartoffel-Schupfnudeln,Trockensortiment & Konserven
Gänsepresskopf,Fleischtheke
Sächsischer Presskopf,Trockensortiment & Konserven
Käsekrainer Käsewürstchen,Kühlregal (Molkerei)
Bratwurst mittelgrob,Fisch & Wurstwaren
Rosinenkuchen,Backwaren
Bremer Pinkel,Fisch & Wurstwaren
Kalbsbrust gefüllt,Fleischtheke
Schokoladenbuttercreme eihaltig,Gewürze & Backzutaten
Salami Ia,Fisch & Wurstwaren
Französische Apfeltarte,Backwaren
Biskuitplätzchen schokoliert,Backwaren
Reiswurst,Trockensortiment & Konserven
Kaffeegebäck,Kühlregal (Molkerei)
Bohnen weiß,Trockensortiment & Konserven
Burgunder Schinken,Fisch & Wurstwaren
Gekochte Zwiebelwurst,Fisch & Wurstwaren
Vollkornhefeteig süß gebacken,Gewürze & Backzutaten
Haselnusskerne gebrannt,Süßwaren & Snacks
Fruchtsaftgetränk Zitrusfrüchte,Getränke Alkoholfrei
Kabanossi Peperoni,Fleischtheke
Trinkjoghurt fettarm,Kühlregal (Molkerei)
Seelachs paniert,Tiefkühlware
Münchner Weißwurst,Fisch & Wurstwaren
Knackwürstchen fettreduziert,Fleischtheke
Karottensaftschorle,Getränke Alkoholfrei
Schinkenroulade,Fisch & Wurstwaren
Weizenmischtoastbrot getoastet,Backwaren
Weizenglutenfertigmischung,Backwaren
Apfelkompott Apfelmus,Trockensortiment & Konserven
Makronen Mandelmakronen,Backwaren
Geflügelbratwurst gegrillt,Fisch & Wurstwaren
Honigkuchen schokoliert,Backwaren
Touristenwurst,Fisch & Wurstwaren
Ochsenschwanz,Fleischtheke
Marzipan,Süßwaren & Snacks
Mangonektar,Obst & Gemüse
Delikatesswürstchen,Fleischtheke
Maronenkrem,Süßwaren & Snacks
Krakauer,Fleischtheke
Kekse Plätzchen schokoliert,Backwaren
Birnendicksaft,Süßwaren & Snacks
Mandeln gebrannt,Süßwaren & Snacks
Pizzateig gebacken,Gewürze & Backzutaten
Waffelkekse schokoliert,Backwaren
Frucht-Joghurteis,Tiefkühlware
Erdnusskerne gebrannt,Süßwaren & Snacks
Fruchtsaftgetränk angereichert,Getränke Alkoholfrei
Speiseeis Kaffee,Tiefkühlware
Gefüllter Schinken,Fisch & Wurstwaren
Müslikekse Müsliplätzchen schokoliert,Süßwaren & Snacks
Vanillepudding,Kühlregal (Molkerei)
Rheinische Bratwurst gegrillt,Fisch & Wurstwaren
Mürbchen schokoliert,Backwaren
Schokoladen-Biskuitplätzchen,Backwaren
Zedernbrot,Backwaren
Vollkornhefezopf,Gewürze & Backzutaten
Printen schokoliert,Backwaren
Limettensaft Konzentrat,Obst & Gemüse
Franzbrötchen,Backwaren
Pfirsichnektar,Obst & Gemüse
Matjeshering,Trockensortiment & Konserven
Mischpilze gebacken,Obst & Gemüse
Schwein Rind,Fleischtheke
Eisbein,Fleischtheke
Hörnchen,Backwaren
Plunderteig gebacken,Backwaren
Wollwurst Geschwollene,Fisch & Wurstwaren
Zitronensaft Konzentrat,Obst & Gemüse
Weizenvollkorntoastbrot getoastet,Backwaren
Fleischkäse weiß,Kühlregal (Molkerei)
Wiener Sandtorte,Backwaren
Rostbratwurst gegrillt,Fisch & Wurstwaren
Vollkornmürbeteig süß gebacken,Backwaren
Kirsch-Streuselkuchen,Backwaren
Speiseeis,Tiefkühlware
Mokkacreme-Marzipan-Torte,Backwaren
Kokosmakronen schokoliert,Backwaren
Orangencremetorte,Kühlregal (Molkerei)
Frankfurter Kranz,Backwaren
Mosaikumrandung,Fleischtheke
Krakauer Schinkenwurst,Fisch & Wurstwaren
Weißer Presskopf,Fleischtheke
Pfirsich-Maracujanektarschorle,Getränke Alkoholfrei
Rollmops,Trockensortiment & Konserven
Sahne-Windbeutel,Kühlregal (Molkerei)
Blätterkrokant überzogen,Kühlregal (Molkerei)
Cabanossi gebrüht,Fleischtheke
Zuger Kirschtorte,Backwaren
Kochsalami,Fisch & Wurstwaren
Spritzgebäck schokoliert,Backwaren
Krakauer Kochpolnische,Fleischtheke
Cabanossi,Fleischtheke
Touristenwurst einfach,Fisch & Wurstwaren
Pudding-Vollkornplunder belegt,Backwaren
Dominosteine,Backwaren
Käsesahnetorte,Kühlregal (Molkerei)
Fruchtsirup,Süßwaren & Snacks
Vanillebuttercreme gestreckt,Gewürze & Backzutaten
Apfel-Mohntorte,Backwaren
Gemüsecremesuppe,Obst & Gemüse
Zwiebelkuchen,Gewürze & Backzutaten
Gefüllter Schweinekamm,Fleischtheke
Knoblauch gesäuert,Trockensortiment & Konserven
Holländische Kirsch-Sahneschnitten Kirsch-Sahnetorte,Kühlregal (Molkerei)
Presswurst,Fisch & Wurstwaren
Flockentorte,Backwaren
Kuchenboden belegt,Backwaren
Meeresfrüchte,Trockensortiment & Konserven
Pasteten,Kühlregal (Molkerei)
Debreziner Würstchen,Fleischtheke
Mehrfruchtnektar,Obst & Gemüse
Gemüsemischung gesäuert,Trockensortiment & Konserven
Schwarz-Weiß-Buttercremetorte,Backwaren
Nuss-Plunder,Backwaren
Mohn-Plunder,Backwaren
Gerauchte Schinkenwurst,Fisch & Wurstwaren
Eierschecke,Gewürze & Backzutaten
Mehrfruchtsaftschorle,Getränke Alkoholfrei
Pudding-Vollkornplunder,Backwaren
Pfefferschote gesäuert,Trockensortiment & Konserven
Flocken-Sahnetorte,Kühlregal (Molkerei)
Schuhsohlen,Kühlregal (Molkerei)
Rindfleischsülze,Fleischtheke
Wildpastete,Fleischtheke
Spitzbuben,Backwaren
Honiggurke gesäuert,Trockensortiment & Konserven
Helle Soße,Gewürze & Backzutaten
Feingebäck schokoliert,Backwaren
Fruchtmischung Fruchtcocktail,Trockensortiment & Konserven
Prinzregententorte,Backwaren
Herrentorte,Backwaren
Schwarzwälder Kirschtorte,Backwaren
Gefüllter Schweinebauch,Fleischtheke
Schweinebauch,Fleischtheke
Sambal Oelek,Gewürze & Backzutaten
Käsewiener gargezogen,Kühlregal (Molkerei)
Zitronensahnetorte,Kühlregal (Molkerei)
Kirschnektarschorle,Getränke Alkoholfrei
Pilzcremesuppe,Obst & Gemüse
Mohn-Vollkornplunder,Backwaren
Lebkuchen,Backwaren
Erdbeer-Charlotte,Kühlregal (Molkerei)
Nugat Nougat Noisette,Süßwaren & Snacks
Buttercremetorte,Backwaren
Weizenbier,Bier & Wein
Blumenkohl gesäuert,Trockensortiment & Konserven
Marzipan-Vollkornplunder,Backwaren
Kalbsbrust,Fleischtheke
Speiseeis Frucht,Tiefkühlware
Baumstamm,Backwaren
Pfefferschote,Trockensortiment & Konserven
Bananennektarschorle,Getränke Alkoholfrei
Nussbiskuitrolle Nussbiskuitroulade,Kühlregal (Molkerei)
Rinderbrust,Fleischtheke
Quark-Vollkornplunder,Kühlregal (Molkerei)
Johannisbeernektarschorle,Getränke Alkoholfrei
Kürbis gesäuert,Trockensortiment & Konserven
Rindsbratwurst gegrillt,Fisch & Wurstwaren
Berner Würstchen,Fleischtheke
Senfgurke gesäuert,Trockensortiment & Konserven
Wachsbohne gesäuert,Trockensortiment & Konserven
Tiroler Tiroler Schinkenwurst,Fisch & Wurstwaren
Schokobuttercreme gestreckt,Gewürze & Backzutaten
Joghurtsahnetorte,Kühlregal (Molkerei)
Erdbeer-Sahneschnitten,Kühlregal (Molkerei)
Traubentorte,Backwaren
Norddeutsche Kochmettwurst,Fisch & Wurstwaren
Preiselbeer-Stracciatella-Sahne-Kranz,Kühlregal (Molkerei)
Zucchini gesäuert,Trockensortiment & Konserven
Zuckermais gesäuert,Trockensortiment & Konserven
Pudding-Plunder,Backwaren
Bismarckhering,Trockensortiment & Konserven
Sahne-Eclairs,Kühlregal (Molkerei)
Wurstsülze,Fisch & Wurstwaren
Wildbretpastete,Fleischtheke
Nuss-Sahnetorte,Kühlregal (Molkerei)
Mokkabuttercreme gestreckt,Gewürze & Backzutaten
Mehrfruchtsaftschorle angereichert,Getränke Alkoholfrei
Silberzwiebel gesäuert,Trockensortiment & Konserven
Marzipan-Plunder,Backwaren
Quark-Plunder,Kühlregal (Molkerei)
Cornichons gesäuert,Trockensortiment & Konserven
Sachertorte,Backwaren
Bratmakrele,Trockensortiment & Konserven
Münchner Weißwurst gargezogen,Fisch & Wurstwaren
Brathering,Trockensortiment & Konserven
Tomate gesäuert,Trockensortiment & Konserven
Bockwurst gargezogen,Fisch & Wurstwaren
Knollensellerie gesäuert,Trockensortiment & Konserven
Aprikosenteilchen,Backwaren
Kalbfleischpastete,Fleischtheke
Spiegeleierkuchen,Backwaren
Olivenpastete,Fleischtheke
Mokkabuttercremetorte,Backwaren
Baumstamm Bismarckeiche,Backwaren
Mürbchen,Backwaren
Aprikosen-Nuss-Torte,Backwaren
Würfelpastete,Fleischtheke
Pudding-Frucht-Plunder,Backwaren
Donauwellen,Backwaren
Gesülzter Hackbraten,Fleischtheke
Frühlingspastete,Fleischtheke
Quark-Frucht-Plunder,Kühlregal (Molkerei)
Aprikosen-Sahnetorte,Kühlregal (Molkerei)
Sternpastete,Fleischtheke
Eierpastete,Fleischtheke
Schoko-Müslikekse Schoko-Müsliplätzchen,Süßwaren & Snacks
Haselnusspastete,Fleischtheke
Berliner Weisse,Bier & Wein
Champignonpastete,Fleischtheke
Schinken-Käsepastete,Kühlregal (Molkerei)
Schokobuttercremetorte,Backwaren
Quark-Frucht-Vollkornplunder,Kühlregal (Molkerei)
Biskuitschnitte,Backwaren
Wildpaste,Backwaren
Trüffelmosaikpastete,Fleischtheke
Lachsschinkenpastete,Fisch & Wurstwaren
Pudding-Frucht-Vollkornplunder,Backwaren
Berner Würstchen gegrillt,Fleischtheke
Pudding-Plunder belegt,Backwaren
Mosaikroulade,Fleischtheke
